candidate_id,"x [nm]","y [nm]",Δx [nm],Δy [nm],sigma_x,sigma_y,del_sigma_x,del_sigma_y,p,"t [ms]",Δt [ms],N_events,x_dim [px],y_dim [px],t_dim [ms],frame
558,36954.18730644707,38705.54187645166,12.378892222278203,24.286782989855084,97.20162555638834,178.05460604097624,12.488476084630555,25.61725084467609,2,115530.65233425592,15.214907223507007,75,10,11,490.4050000000149,115090
559,37410.74187927753,39427.24492484915,8.310869453567358,8.148585831493921,67.23819005710871,66.63280816053125,7.499146026433957,7.4611570380390635,2,121065.07739473683,124.33107001269757,78,15,9,606.418,120624
560,36910.78751133787,47048.16682217316,50.179309373399775,49.334435818326874,190.33726715038415,136.12709129108842,63.228619109418574,59.616099167765014,1,104848.13378673622,449.04962594836786,58,8,7,219.805,104407
561,36942.425628915815,38714.82750326284,37.17015554779499,36.076853833772155,184.05432420769134,191.95175905618936,43.92629524404888,41.861186394312654,2,101580.48209972797,4.049136074273539,74,11,13,486.579,101139
563,36884.82289241963,38744.20728492627,37.38304877724296,40.51395563397612,180.41358249539616,186.94639870198677,63.752201358363784,61.924415521880206,2,134833.6518064516,83.4967115004081,52,11,9,298.332,134393
564,36944.18064040369,38860.59155423032,12.155925829754246,7.728256242089499,111.27147487434263,70.73983320061248,11.066127242672026,7.041494010993113,2,130586.70872148819,587.3567013822988,90,13,18,509.769,130146
566,37048.49633906941,39381.719198560415,8.14144156895895,7.737667261043256,85.39287442057793,81.20313740868522,7.42089265067439,7.037343872975792,2,136866.77299470376,1280.752805565229,109,13,16,617.979,136426
568,37281.24944681764,39364.437284398,56.60557444484673,16.46877010443347,173.968020939663,46.89778162083516,53.30585607679936,10.896033232870838,1,116136.61329017079,30.376628750283306,71,13,13,260.6760000000149,115696
570,36971.64708682513,40031.79158783121,11.098619829442978,6.175282288679761,95.73289304874841,53.18377451365301,10.114144812716663,6.885529017350748,2,126597.04820454544,155.86606957615092,78,10,16,598.092,126156
572,36887.674423065946,38755.05292836561,25.49036330328853,64.03260912670186,123.23472063680725,249.08831140351325,41.403849530263514,89.00447766336691,2,148480.04248428505,24.12931696325935,39,8,10,502.854,148039
573,36990.721756237384,38718.78852311298,4.708112148365614,4.2102306443638025,61.602749067568176,56.15442537261916,4.3979324229499825,3.447577940875099,2,137680.12795833332,143.1252902510805,63,7,11,570.393,137239
574,37205.96007960632,40070.35240760959,16.966739481073507,20.323710234135667,97.72606487069687,117.07264043243462,15.611254072069299,18.711553036004315,2,138731.7193869036,8.37727126230499,127,12,19,479.642,138291
575,37846.64331412424,40597.78638029424,36.00665859060305,13.403275250577433,208.53480261004304,94.6771066782299,36.487872213784996,12.368354427816435,2,142915.63270993813,508.05752603748664,177,16,18,555.197,142475
578,37128.86359003592,40137.16385002494,16.490135352926316,24.684516822586396,86.3623020168612,128.80645854182467,16.356582278715347,24.324501548128893,2,139972.98086584994,0.7577304597302214,32,9,10,105.331,139532
579,37137.18585717834,39052.782690794986,14.696402853780796,22.175836822055413,58.261972250355136,75.75660765284964,14.038971868836514,27.837953597212575,2,117830.27376990179,0.7345944239424681,32,10,3,339.83500000001493,117389
580,37152.59668322378,40090.94825898676,9.31716354261111,21.967565129123656,82.60867743256617,188.1458193499401,9.047825414257915,22.163489202902838,2,102716.20771976655,1306.1817889424597,45,10,13,437.252,102275
581,37238.44487901075,40284.90053140453,17.262273023987547,25.668323984945673,88.20312344213053,135.6076117540606,17.267083336988268,24.363203170456536,2,103149.00864864864,125.35038375779756,55,11,11,539.3539999999851,102708
583,37570.0185267084,44392.2298934816,9.061619805722588,18.946422064360416,89.20769095628137,181.84975123196963,8.630455274814242,18.666443135020835,2,102394.57341504341,338.20393194846883,122,13,13,919.94,101954
